,ID,Season,Position,FullName,TOI,OT,SO,W,L,Saves,PPSaves,SHSaves,EVSaves,SHShots,EVShots,PPShots,SvPct,GAA,G,GS,ShotsAgainst,GoalsAgainst,TOIperGame,PPSvPct,SHSvPct,EVSvPct
12,8469608,20172018,G,Mike Smith,3190:36,6.0,3.0,25.0,22.0,1545.0,241.0,47.0,1257.0,52.0,1363.0,271.0,0.91637,2.651539,55.0,55.0,1686.0,141.0,58:00,88.92988929889297,90.3846153846154,92.22303741746148
13,8471695,20172018,G,Tuukka Rask,3173:05,5.0,3.0,34.0,14.0,1388.0,204.0,45.0,1139.0,52.0,1233.0,228.0,0.917383,2.363632,54.0,53.0,1513.0,125.0,58:45,89.47368421052632,86.53846153846155,92.37631792376317
14,8471679,20172018,G,Carey Price,2854:37,7.0,1.0,16.0,26.0,1339.0,185.0,40.0,1114.0,43.0,1226.0,218.0,0.9004709999999999,3.11075,49.0,48.0,1487.0,148.0,58:15,84.86238532110092,93.02325581395347,90.86460032626428
15,8470880,20172018,G,Brian Elliott,2522:00,7.0,1.0,23.0,11.0,1116.0,125.0,38.0,953.0,44.0,1030.0,154.0,0.908795,2.664552,43.0,42.0,1228.0,112.0,58:39,81.16883116883116,86.36363636363636,92.5242718446602
16,8471715,20172018,G,Ondrej Pavelec,903:42,1.0,1.0,4.0,9.0,464.0,62.0,8.0,394.0,11.0,428.0,71.0,0.9098040000000001,3.0541110000000002,19.0,12.0,510.0,46.0,47:33,87.32394366197181,72.72727272727273,92.05607476635514
17,8470147,20172018,G,Curtis McElhinney,979:07,1.0,3.0,11.0,5.0,493.0,78.0,9.0,406.0,10.0,428.0,90.0,0.9337120000000001,2.14479,18.0,15.0,528.0,35.0,54:23,86.66666666666669,90.0,94.85981308411215
18,8471734,20172018,G,Jonathan Quick,3677:05,3.0,5.0,33.0,28.0,1720.0,257.0,56.0,1407.0,59.0,1521.0,287.0,0.921264,2.3986400000000003,64.0,63.0,1867.0,147.0,57:27,89.54703832752612,94.91525423728814,92.50493096646942
19,8473541,20172018,G,Jonathan Bernier,2001:23,3.0,2.0,19.0,13.0,997.0,178.0,21.0,798.0,27.0,865.0,200.0,0.913004,2.84803,37.0,34.0,1092.0,95.0,54:05,89.0,77.7777777777778,92.25433526011558
20,8471306,20172018,G,Thomas Greiss,1491:45,2.0,1.0,13.0,8.0,784.0,99.0,22.0,663.0,25.0,735.0,119.0,0.8919229999999999,3.821016,27.0,25.0,879.0,95.0,55:15,83.19327731092437,88.0,90.20408163265309
21,8473575,20172018,G,Semyon Varlamov,2861:03,6.0,2.0,24.0,16.0,1467.0,225.0,43.0,1199.0,48.0,1299.0,248.0,0.9197489999999999,2.684329,51.0,47.0,1595.0,128.0,56:05,90.72580645161291,89.58333333333334,92.30177059276366
